ID,Area_px,L_px,W_px,Area_cm2,L_cm,W_cm,Sphericity,Volume_cm3
1,4761,76,75,47.61,7.6,7.5,0.874373,225.331
2,8725,119.553,97.6806,87.25,11.9553,9.76806,0.788576,664.148
3,7523,108,90,75.23,10.8,9,0.802243,503.849
4,7032,94,91,70.32,9.4,9.1,0.868176,414.295
5,4708,126.032,52.0746,47.08,12.6032,5.20746,0.556462,306.023
6,10002,170,76,100.02,17,7.6,0.63866,832.082
7,4005,75,64,40.05,7.5,6.4,0.833131,174.673
8,6026,86,78,60.26,8.6,7.8,0.848667,288.009
9,7199,102,86,71.99,10.2,8.6,0.853205,431.743
10,4466,84,69,44.66,8.4,6.9,0.808412,232.161
11,6964,118.794,79.196,69.64,11.8794,7.9196,0.780559,487.651
12,4438,112.963,52.8396,44.38,11.2963,5.28396,0.599599,259.094
13,5288,109,65,52.88,10.9,6.5,0.693351,322.744
14,2259,96,33,22.59,9.6,3.3,0.514859,106.99
15,6531,89,87,65.31,8.9,8.7,0.794607,356.772
16,5781,105,71,57.81,10.5,7.1,0.78023,343.502
17,3712,80.6172,62.744,37.12,8.06172,6.2744,0.755067,189.845
18,3215,76.052,50.8526,32.15,7.60521,5.08527,0.800098,128.49
19,6277,115,65,62.77,11.5,6.5,0.7616,352.251
20,3898,71,71,38.98,7.1,7.1,0.82395,187.402
21,3417,97.5785,47.4887,34.17,9.75785,4.74887,0.660377,175.988
22,3476,72.0017,60.9118,34.76,7.20017,6.09118,0.822075,152.61
23,3953,94.7274,55.0529,39.53,9.47274,5.50529,0.763965,204.494
24,7222,106,93,72.22,10.6,9.3,0.641426,513.583
25,5075,90.3929,70.5421,50.75,9.03929,7.05421,0.831547,268.659
26,4670,98.2602,59.5377,46.7,9.82602,5.95377,0.778538,241.679
27,5955,106.978,67.3751,59.55,10.6978,6.73751,0.834692,328.997
28,7425,133.779,73.235,74.25,13.3779,7.3235,0.732191,530.98
29,4812,87,66,48.12,8.7,6.6,0.827846,229.998
30,5845,89,81,58.45,8.9,8.1,0.865119,320.843
31,2194,66,44,21.94,6.6,4.4,0.722122,83.6292
32,5475,86,78,54.75,8.6,7.8,0.547185,288.009
33,6495,108.884,78.6955,64.95,10.8884,7.86955,0.77562,420.796
34,5158,95,71,51.58,9.5,7.1,0.747295,293.129
35,5766,89,83,57.66,8.9,8.3,0.819336,332.633
36,3271,69.4111,61.8058,32.71,6.94111,6.18058,0.671134,147.372
37,2630,62,52,26.3,6.2,5.2,0.839894,96.2207
38,7164,113.991,83.4824,71.64,11.3991,8.34824,0.785253,491.974
39,5058,91,77,50.58,9.1,7.7,0.743884,308.184
40,3947,75.2375,70.4707,39.47,7.52375,7.04707,0.747567,202.253
41,3158,77,53,31.58,7.7,5.3,0.814351,138.892
42,4673,87,69,46.73,8.7,6.9,0.826502,245.167
43,4812,86,69,48.12,8.6,6.9,0.783993,240.795
44,4409,84,73,44.09,8.4,7.3,0.5016,252.041
45,4509,75,62,45.09,7.5,6.2,0.867994,166.779
46,4183,87,60,41.83,8.7,6,0.784498,200.889
47,5346,86,71,53.46,8.6,7.1,0.856736,250.972
48,3532,71.2799,66.3674,35.32,7.12799,6.63674,0.784732,170.474
49,5733,88,79,57.33,8.8,7.9,0.839212,303.945
50,5101,87,68,51.01,8.7,6.8,0.814064,240.065
51,2965,106,35,29.65,10.6,3.5,0.527619,136.95
52,8406,164.014,62.2468,84.06,16.4014,6.22468,0.62935,604.748
53,2731,60,58,27.31,6,5.8,0.785263,107.505
54,5371,113.424,63.6933,53.71,11.3424,6.36933,0.689656,334.986
55,7034,97.8081,93.9175,70.34,9.78081,9.39175,0.766791,461.074
56,4260,94,51,42.6,9.4,5.1,0.786129,181.985
57,3341,70,58,33.41,7,5.8,0.823586,136.052
58,1692,59,33,16.92,5.9,3.3,0.739212,46.8946
59,4826,84.4698,71.0255,48.26,8.44698,7.10255,0.802537,244.231
60,2806,81.1669,45.403,28.06,8.11669,4.5403,0.766309,122.113
61,4149,79.5549,65.4354,41.49,7.95549,6.54354,0.793024,197.6
62,4934,92.0464,64.9283,49.34,9.20464,6.49283,0.835537,245.606
63,6584,115,68,65.84,11.5,6.8,0.763934,374.651
64,7250,93,88,72.5,9.3,8.8,0.645721,387.805
65,3686,86,64,36.86,8.6,6.4,0.636692,216.142
66,5344,90,74,53.44,9,7.4,0.791738,285.948
67,3639,76,54,36.39,7.6,5.4,0.805779,139.675
68,3034,65,57,30.34,6.5,5.7,0.798821,118.336
69,4507,75,63,45.07,7.5,6.3,0.867609,170.706
70,3845,80.4835,69.4489,38.45,8.04835,6.94489,0.684821,219.399
71,3406,75,56,34.06,7.5,5.6,0.810631,144.042
72,3361,88,46,33.61,8.8,4.6,0.728933,142.008
73,2449,71.0921,45.4383,24.49,7.10921,4.54383,0.74968,98.5489
74,4843,89.286,77.6534,48.43,8.9286,7.76534,0.633669,303.02
75,3817,94.8314,50.9325,38.17,9.48314,5.09325,0.718876,184.317
76,3748,85.3176,55.4807,37.48,8.53176,5.54807,0.792897,174.48
77,5751,93,72,57.51,9.3,7.2,0.848035,289.246
78,3563,84,52,35.63,8.4,5.2,0.818232,155.521
79,2723,56,56,27.23,5.6,5.6,0.77965,91.9523
80,2446,59,49,24.46,5.9,4.9,0.833954,81.7411
81,2312,56,53,23.12,5.6,5.3,0.800854,84.6952
82,1881,56.71,41.8607,18.81,5.671,4.18607,0.810151,61.2608
83,4694,78,66,46.94,7.8,6.6,0.835293,194.075
84,3857,95,54,38.57,9.5,5.4,0.684152,200.112
85,2525,73,38,25.25,7.3,3.8,0.750643,80.6117
86,2488,63,53,24.88,6.3,5.3,0.746069,101.401
87,3074,71,52,30.74,7.1,5.2,0.449363,118.887
88,2883,62,59,28.83,6.2,5.9,0.74141,115.877
89,3572,91,52,35.72,9.1,5.2,0.677818,177.153
90,3695,80,51,36.95,8,5.1,0.800034,139.927
91,1249,66,28,12.49,6.6,2.8,0.525821,45.4777
92,1828,68,33,18.28,6.8,3.3,0.701864,59.3353
93,3903,100.794,51.9344,39.03,10.0794,5.19344,0.742027,209.306
94,2156,60,50,21.56,6,5,0.758839,86.3938
95,3531,70.8742,65.8751,35.31,7.08742,6.58751,0.764899,167.149
96,2655,66,52,26.55,6.6,5.2,0.78526,106.022
97,2886,75.5338,50.639,28.86,7.55338,5.0639,0.654261,126.346
98,4650,108.357,51.7379,46.5,10.8357,5.17379,0.663102,234.969
