ID,Area_px,L_px,W_px,Area_cm2,L_cm,W_cm,Sphericity,Volume_cm3
1,22260,178,167,222.6,17.8,16.7,0.802064,2684.88
2,15014,165.569,114.846,150.14,16.5569,11.4846,0.807116,1395.94
3,13477,142.022,124.39,134.77,14.2022,12.439,0.821181,1232.15
4,9142,123,99,91.42,12.3,9.9,0.801328,707.721
5,13460,132.718,124.377,134.6,13.2718,12.4377,0.885295,1111.05
6,13541,142.843,113.812,135.41,14.2843,11.3812,0.667824,1092.36
7,11947,133,128,119.47,13.3,12.8,0.72997,1163.24
8,3559,86,58,35.59,8.6,5.8,0.712671,188.043
9,21697,210,125,216.97,21,12.5,0.768998,2302.2
10,9562,129.692,101.07,95.62,12.9692,10.107,0.746655,791.899
11,11281,122.99,121.579,112.81,12.299,12.1579,0.794624,957.41
12,11533,126,121,115.33,12.6,12.1,0.492484,985.874
13,5949,103.712,72.0055,59.49,10.3712,7.20055,0.835998,343.539
14,7467,106,90,74.67,10.6,9,0.81798,489.523
15,6770,93,87,67.7,9.3,8.7,0.8827,381.279
16,4316,116,51,43.16,11.6,5.1,0.58999,258.65
17,5683,91,78,56.83,9.1,7.8,0.873908,314.045
18,8040,115,92,80.4,11.5,9.2,0.799608,573.356
19,16394,163,115,163.94,16.3,11.5,0.789282,1364.27
20,5464,109.713,64.7784,54.64,10.9713,6.47784,0.811195,324.661
21,8005,132.014,81.915,80.05,13.2014,8.1915,0.748519,605.652
22,7713,111.731,89.9363,77.13,11.1731,8.99364,0.759204,530.534
23,10333,149.894,90.271,103.33,14.9894,9.0271,0.728338,850.768
24,11725,132.229,123.744,117.25,13.2229,12.3744,0.758234,1096.51
25,8464,107.769,103.987,84.64,10.7769,10.3987,0.768813,621.268
26,2130,56,43,21.3,5.6,4.3,0.810378,62.4109
27,8561,122,87,85.61,12.2,8.7,0.647468,580.756
28,3034,74,47,30.34,7.4,4.7,0.785406,110.175
29,16836,186,128,168.36,18.6,12.8,0.666792,1957.14
30,6221,113,79,62.21,11.3,7.9,0.680677,448.72
31,12895,145,103,128.95,14.5,10.3,0.738234,969.674
32,5283,92.6593,80.9874,52.83,9.26593,8.09874,0.702921,341.147
33,4207,75,66,42.07,7.5,6.6,0.86347,182.723
34,2062,80,28,20.62,8,2.8,0.599263,63.3345
35,3214,64.8265,64.4835,32.14,6.48265,6.44835,0.737823,141.515
36,22520,229,134,225.2,22.9,13.4,0.682069,2916.19
37,2329,100,30,23.29,10,3,0.530813,102.102
38,1960,53,47,19.6,5.3,4.7,0.811415,65.2142
